date,incorrect_cusip,correct_cusip
1/3/1994,29364F105,29364G103
1/4/1994,29364F105,29364G103
12/12/1994,78387G103,845333103
12/13/1994,78387G103,845333103
12/14/1994,78387G103,845333103
12/15/1994,78387G103,845333103
12/16/1994,78387G103,845333103
12/19/1994,78387G103,845333103
12/20/1994,78387G103,845333103
12/21/1994,78387G103,845333103
12/22/1994,78387G103,845333103
12/23/1994,78387G103,845333103
12/27/1994,78387G103,845333103
12/28/1994,78387G103,845333103
12/29/1994,78387G103,845333103
12/30/1994,78387G103,845333103
12/31/1994,78387G103,845333103
1/3/1995,78387G103,845333103
1/4/1995,78387G103,845333103
1/5/1995,78387G103,845333103
1/6/1995,78387G103,845333103
1/9/1995,78387G103,845333103
1/10/1995,78387G103,845333103
1/11/1995,78387G103,845333103
1/12/1995,78387G103,845333103
1/13/1995,78387G103,845333103
1/16/1995,78387G103,845333103
1/17/1995,78387G103,845333103
1/18/1995,78387G103,845333103
1/19/1995,78387G103,845333103
1/20/1995,78387G103,845333103
1/23/1995,78387G103,845333103
1/24/1995,78387G103,845333103
1/25/1995,78387G103,845333103
1/26/1995,78387G103,845333103
1/27/1995,78387G103,845333103
1/30/1995,78387G103,845333103
1/31/1995,78387G103,845333103
2/1/1995,78387G103,845333103
2/2/1995,78387G103,845333103
2/3/1995,78387G103,845333103
2/6/1995,78387G103,845333103
2/7/1995,78387G103,845333103
2/8/1995,78387G103,845333103
2/9/1995,78387G103,845333103
2/10/1995,78387G103,845333103
2/13/1995,78387G103,845333103
2/14/1995,78387G103,845333103
2/15/1995,78387G103,845333103
2/16/1995,78387G103,845333103
2/17/1995,78387G103,845333103
2/21/1995,78387G103,845333103
2/22/1995,78387G103,845333103
2/23/1995,78387G103,845333103
2/24/1995,78387G103,845333103
2/27/1995,78387G103,845333103
2/28/1995,78387G103,845333103
3/1/1995,78387G103,845333103
3/2/1995,78387G103,845333103
3/3/1995,78387G103,845333103
3/6/1995,78387G103,845333103
3/7/1995,78387G103,845333103
3/8/1995,78387G103,845333103
3/9/1995,78387G103,845333103
3/10/1995,78387G103,845333103
3/13/1995,78387G103,845333103
3/14/1995,78387G103,845333103
3/15/1995,78387G103,845333103
3/16/1995,78387G103,845333103
3/17/1995,78387G103,845333103
3/20/1995,78387G103,845333103
3/21/1995,78387G103,845333103
3/22/1995,78387G103,845333103
3/23/1995,78387G103,845333103
3/24/1995,78387G103,845333103
3/27/1995,78387G103,845333103
3/28/1995,78387G103,845333103
3/29/1995,78387G103,845333103
3/30/1995,78387G103,845333103
3/31/1995,78387G103,845333103
4/3/1995,78387G103,845333103
4/4/1995,78387G103,845333103
4/5/1995,78387G103,845333103
4/6/1995,78387G103,845333103
4/7/1995,78387G103,845333103
4/10/1995,78387G103,845333103
4/11/1995,78387G103,845333103
4/12/1995,78387G103,845333103
4/13/1995,78387G103,845333103
4/17/1995,78387G103,845333103
4/18/1995,78387G103,845333103
4/19/1995,78387G103,845333103
4/20/1995,78387G103,845333103
4/21/1995,78387G103,845333103
4/24/1995,78387G103,845333103
4/25/1995,78387G103,845333103
4/26/1995,78387G103,845333103
4/27/1995,78387G103,845333103
4/28/1995,78387G103,845333103
12/29/1995,233331107,250847100
3/11/1996,697926103,698462108
3/12/1996,697926103,698462108
3/13/1996,697926103,698462108
3/14/1996,697926103,698462108
3/15/1996,697926103,698462108
3/18/1996,697926103,698462108
3/19/1996,697926103,698462108
3/20/1996,697926103,698462108
3/21/1996,697926103,698462108
3/22/1996,697926103,698462108
3/25/1996,697926103,698462108
3/26/1996,697926103,698462108
3/27/1996,697926103,698462108
3/28/1996,697926103,698462108
3/29/1996,697926103,698462108
4/1/1996,697926103,698462108
4/2/1996,697926103,698462108
4/3/1996,697926103,698462108
4/4/1996,697926103,698462108
4/8/1996,697926103,698462108
4/9/1996,697926103,698462108
4/10/1996,697926103,698462108
4/11/1996,697926103,698462108
4/12/1996,697926103,698462108
4/15/1996,697926103,698462108
4/16/1996,697926103,698462108
4/17/1996,697926103,698462108
4/18/1996,697926103,698462108
4/19/1996,697926103,698462108
4/22/1996,697926103,698462108
4/23/1996,697926103,698462108
4/24/1996,697926103,698462108
4/25/1996,697926103,698462108
7/19/1996,008117103,008140105
9/23/1996,773903109,774347108
9/24/1996,773903109,774347108
9/25/1996,773903109,774347108
9/26/1996,773903109,774347108
9/27/1996,773903109,774347108
9/30/1996,773903109,774347108
10/1/1996,773903109,774347108
10/2/1996,773903109,774347108
10/3/1996,773903109,774347108
10/4/1996,773903109,774347108
10/7/1996,773903109,774347108
10/8/1996,773903109,774347108
10/9/1996,773903109,774347108
10/10/1996,773903109,774347108
10/11/1996,773903109,774347108
10/14/1996,773903109,774347108
10/15/1996,773903109,774347108
10/16/1996,773903109,774347108
10/17/1996,773903109,774347108
10/18/1996,773903109,774347108
10/21/1996,773903109,774347108
10/22/1996,773903109,774347108
10/23/1996,773903109,774347108
10/24/1996,773903109,774347108
10/25/1996,773903109,774347108
10/28/1996,773903109,774347108
10/29/1996,773903109,774347108
10/30/1996,773903109,774347108
10/31/1996,773903109,774347108
11/1/1996,773903109,774347108
11/4/1996,773903109,774347108
11/5/1996,773903109,774347108
11/6/1996,773903109,774347108
11/7/1996,773903109,774347108
11/8/1996,773903109,774347108
11/11/1996,773903109,774347108
11/12/1996,773903109,774347108
11/13/1996,773903109,774347108
11/14/1996,773903109,774347108
11/15/1996,773903109,774347108
11/18/1996,773903109,774347108
11/19/1996,773903109,774347108
11/20/1996,773903109,774347108
11/21/1996,773903109,774347108
11/22/1996,773903109,774347108
11/25/1996,773903109,774347108
11/26/1996,773903109,774347108
11/27/1996,773903109,774347108
11/28/1996,773903109,774347108
11/29/1996,773903109,774347108
12/2/1996,773903109,774347108
12/3/1996,773903109,774347108
3/4/1999,G3682L105,359416104
3/26/2008,64110D104,64120L104
7/1/2008,038149100,038020103
7/8/2008,02503Y103,024937104
2/9/2009,26884L109,294549100
7/1/2009,026874784,026874107
11/4/2009,58933Y105,589331107
11/20/2009,25490A101,25459L106
11/23/2009,25490A101,25459L106
11/24/2009,25490A101,25459L106
11/25/2009,25490A101,25459L106
11/26/2009,25490A101,25459L106
11/27/2009,25490A101,25459L106
11/30/2009,25490A101,25459L106
12/1/2009,25490A101,25459L106
3/15/2010,854502101,854616109
6/3/2010,65339F101,302571104
