date,sym1,name,cusip
1/2/2001,JPM,J.P.Morgan Chase  CO,46625H100
6/11/2012,TRIP,TripAdvisor Inc.,896945201
6/25/2012,KFT,Kraft Foods Inc,50075N104
7/5/2012,WIN,Windstream Corp,97381W104
7/5/2012,MU,Micron Technology Inc,595112103
7/5/2012,MYL,Mylan Inc.,628530107
7/5/2012,STX,Seagate Technology,G7945M107
7/5/2012,FSLR,First Solar Inc,336433107
7/5/2012,WDC,Western Digital Corp,958102105
7/5/2012,VIAB,Viacom Inc B,92553P201
7/5/2012,MAT,Mattel Inc,577081102
7/5/2012,SLM,SLM Corp,78442P106
7/5/2012,HAS,Hasbro Inc,418056107
7/5/2012,RRD,"Donnelley, R.R. & Sons",257867101
7/5/2012,NWSA,News Corporation,65248E104
7/5/2012,KFT,Kraft Foods Inc A,50075N104
7/5/2012,TRIP,TripAdvisor Inc.,896945201
7/5/2012,TXN,Texas Instruments Inc,882508104
7/10/2012,TRIP,TripAdvisor Inc.,896945201
3/4/2015,TWC,Time Warner Cable Inc,88732J207
3/4/2015,TSN,Tyson Foods Inc A,902494103
3/4/2015,UNH,Unitedhealth Group Inc,91324P102
3/4/2015,UNM,Unum Group,91529Y106
3/4/2015,ZTS,Zoetis Inc,98978V103
3/4/2015,ZMH,Zimmer Holdings Inc,98956P102
3/4/2015,XRX,Xerox Corp,984121103
3/4/2015,WFC,Wells Fargo & Co,949746101
3/4/2015,VZ,Verizon Communications Inc,92343V104
3/4/2015,TEL,TE Connectivity Ltd.,H84989104
3/4/2015,XEL,Xcel Energy Inc,98389B100
3/4/2015,SWN,Southwestern Energy Co,845467109
3/4/2015,UNP,Union Pacific Corp,907818108
3/4/2015,WM,Waste Management Inc,94106L109
3/4/2015,URI,United Rentals Inc,911363109
3/4/2015,WMT,Wal-Mart Stores,931142103
3/4/2015,VMC,Vulcan Materials Co,929160109
3/4/2015,TE,TECO Energy Inc,872375100
3/4/2015,TEG,Integrys Energy Group Inc,45822P105
3/4/2015,TSO,Tesoro Corp,881609101
3/4/2015,SYY,Sysco Corp,871829107
3/4/2015,SYK,Stryker Corp,863667101
3/4/2015,THC,Tenet Healthcare,88033G407
3/4/2015,WY,Weyerhaeuser Co,962166104
3/4/2015,TDC,Teradata Corp,88076W103
3/4/2015,TYC,Tyco Intl,G91442106
3/4/2015,VLO,Valero Energy Corp,91913Y100
3/4/2015,UHS,Universal Health Services B,913903100
3/4/2015,XL,XL Group Plc,G98290102
3/4/2015,TRV,Travelers Cos Inc,89417E109
3/4/2015,XEC,Cimarex Energy Co,171798101
3/4/2015,VTR,Ventas Inc,92276F100
3/4/2015,TXT,Textron Inc,883203101
3/4/2015,TSS,Total System Services Inc,891906109
3/4/2015,WU,Western Union Co,959802109
3/4/2015,TMO,Thermo Fisher Scientific,883556102
3/4/2015,SWK,Stanley Black & Decker,854502101
3/4/2015,TMK,Torchmark Corp,891027104
3/4/2015,XOM,Exxon Mobil Corp,30231G102
3/4/2015,TWX,Time Warner Inc,887317303
3/4/2015,WAT,Waters Corp,941848103
3/4/2015,YUM,Yum! Brands Inc,988498101
3/4/2015,TGT,Target Corp,87612E106
3/4/2015,WYN,Wyndham Worldwide Corp,98310W108
3/4/2015,USB,US Bancorp,902973304
3/4/2015,V,Visa Inc,92826C839
3/4/2015,VNO,Vornado Realty Trust,929042109
3/4/2015,VAR,Varian Medical Systems Inc,92220P105
3/4/2015,UTX,United Technologies Corp,913017109
3/4/2015,TJX,TJX Cos Inc,872540109
3/4/2015,XYL,Xylem Inc,98419M100
3/4/2015,WEC,Wisconsin Energy Corp,976657106
3/4/2015,WMB,The Williams Companies Inc,969457100
3/4/2015,WHR,Whirlpool Corp,963320106
3/4/2015,TAP,Molson Coors Brewing Co B,60871R209
3/4/2015,VFC,VF Corp,918204108
3/4/2015,UPS,United Parcel Service Inc B,911312106
3/4/2015,TIF,Tiffany & Co,886547108
3/4/2015,UA,"Under Armour, Inc.",904311107
3/4/2015,T,AT&T Inc,00206R102
11/20/2015,AAPL,Apple,037833100
11/20/2015,AAL,American Airlines Group Inc.,02376R102
12/11/2015,CMCSK,Comcast Corp,20030N200
2/25/2016,VRSK,Verisk Analytics Inc,92345Y106
2/25/2016,ZION,Zions Bancorp (UT),989701107
2/25/2016,WLTW,Willis Towers Watson PLC,G96629103
2/25/2016,VRTX,Vertex Pharmaceuticals Inc,92532F100
2/25/2016,XRAY,Dentsply Intl,249030107
2/25/2016,WYNN,Wynn Resorts Ltd,983134107
2/25/2016,XLNX,Xilinx Inc,983919101
2/25/2016,WDC,Western Digital Corp,958102105
2/25/2016,YHOO,Yahoo Inc,984332106
2/25/2016,VRSN,VeriSign Inc,92343E102
2/25/2016,WFM,Whole Foods Market Inc,966837106
2/25/2016,WBA,Walgreens Boots Alliance Inc,931427108
