date,sym1,name,cusip
2/25/2011,AYE,Allegheny Energy Inc,017361106
2/28/2011,MFE,McAfee Inc,579064106
4/27/2011,NOVL,Novell Inc,670006105
6/1/2011,MEE,Massey Energy Co,576206106
7/5/2011,MI,Marshall & Ilsley Corp (WI),571837103
9/23/2011,NSM,National Semiconductor,637640103
10/14/2011,CEPH,Cephalon Inc,156708109
12/9/2011,GAS,NICOR Inc,654086107
12/12/2011,GAS,NICOR Inc,654086107
3/12/2012,CEG,Constellation Energy Group,210371100
3/13/2012,CEG,Constellation Energy Group,210371100
4/2/2012,MHS,Medco Health Solutions Inc,58405U102
4/3/2012,MHS,Medco Health Solutions Inc,58405U102
5/22/2012,MMI,"Motorola Mobility Holdings, Inc",620097105
5/23/2012,MMI,"Motorola Mobility Holdings, Inc",620097105
5/24/2012,MMI,"Motorola Mobility Holdings, Inc",620097105
5/24/2012,EP,El Paso Corp,28336L109
6/4/2012,NVLS,Novellus Systems Inc,670008101
6/28/2012,SLE,Sara Lee Corp,803111103
7/26/2012,GR,Goodrich Corp,382388106
7/27/2012,GR,Goodrich Corp,382388106
7/30/2012,GR,Goodrich Corp,382388106
11/30/2012,CBE,Cooper Industries Plc,G24140108
4/30/2013,PCS,Metropcs Communications Inc,591708102
5/7/2013,CVH,Coventry Health Care Inc,222862104
5/8/2013,CVH,Coventry Health Care Inc,222862104
9/10/2013,BMC,BMC Software Inc,055921100
11/12/2013,NYX,NYSE Euronext,629491101
12/9/2013,MOLX,Molex Inc,608554101
4/30/2014,BEAM,Beam Inc,073730103
5/6/2014,LSI,LSI Corporation,502161102
5/7/2014,LSI,LSI Corporation,502161102
1/26/2015,COV,Covidien Plc,G2554F113
3/11/2015,PETM,PETsMART Inc,716768106
3/17/2015,AGN,Allergan Inc,018490102
3/18/2015,AGN,Allergan Inc,018490102
3/19/2015,AGN,Allergan Inc,018490102
3/20/2015,AGN,Allergan Inc,018490102
3/17/2015,CFN,CareFusion Corp.,14170T101
6/29/2015,TEG,Integrys Energy Group Inc,45822P105
6/30/2015,TEG,Integrys Energy Group Inc,45822P105
7/6/2015,FDO,Family Dollar Stores Inc,307000109
7/7/2015,FDO,Family Dollar Stores Inc,307000109
7/8/2015,FDO,Family Dollar Stores Inc,307000109
7/24/2015,DTV,DIRECTV,25490A309
7/27/2015,DTV,DIRECTV,25490A309
7/28/2015,DTV,DIRECTV,25490A309
10/30/2015,HCBK,Hudson City Bancorp,443683107
11/2/2015,HCBK,Hudson City Bancorp,443683107
11/18/2015,SIAL,Sigma-Aldrich Corp,826552101
12/28/2015,ALTR,Altera Corp,021441100
1/14/2016,CB,Chubb Corp,171232101
1/15/2016,CB,Chubb Corp,171232101
1/29/2016,PCP,Precision Castparts Corp,740189105
2/19/2016,PCL,Plum Creek Timber Co,729251108
3/3/2016,GMCR,Keurig Green Mountain Inc,49271M100
3/4/2016,GMCR,Keurig Green Mountain Inc,49271M100
3/24/2016,POM,Pepco Holdings Inc,713291102
3/28/2016,POM,Pepco Holdings Inc,713291102
3/29/2016,POM,Pepco Holdings Inc,713291102
4/1/2016,CAM,Cameron International Corp,13342B105
5/2/2016,ADT,The ADT Corp.,00101J106
5/12/2016,SNDK,SanDisk Corp,80004C101
5/27/2016,CCE,Coca-Cola Enterprises,19122T109
6/21/2016,CVC,Cablevision Systems Co A,12686C109
6/22/2016,CVC,Cablevision Systems Co A,12686C109
6/23/2016,CVC,Cablevision Systems Co A,12686C109
6/30/2016,GAS,AGL Resources,001204106
6/30/2016,CPGX,Columbia Pipeline Group,198280109
7/1/2016,CPGX,Columbia Pipeline Group,198280109
7/5/2016,CPGX,Columbia Pipeline Group,198280109
9/2/2016,JCI,Johnson Controls Inc,478366107
9/7/2016,EMC,EMC Corp,268648102
3/13/2017,HAR,Harman Intl Industries Inc,413086109
3/14/2017,HAR,Harman Intl Industries Inc,413086109
3/15/2017,HAR,Harman Intl Industries Inc,413086109
6/16/2017,MJN,Mead Johnson Nutrition Co,582839106
9/13/2017,SPLS,Staples Inc,855030102
9/14/2017,SPLS,Staples Inc,855030102
9/15/2017,SPLS,Staples Inc,855030102
1/2/2018,BCR,Bard C.R. Inc,067383109
6/18/2018,TWX,Time Warner Inc,887317303
6/19/2018,TWX,Time Warner Inc,887317303
9/13/2018,XL,XL Group Ltd,G98294104
9/14/2018,XL,XL Group Ltd,G98294104
11/27/2018,COL,Rockwell Collins,774341101
11/28/2018,COL,Rockwell Collins,774341101
11/29/2018,COL,Rockwell Collins,774341101
11/30/2018,COL,Rockwell Collins,774341101
11/29/2018,AET,Aetna Inc,00817Y108
11/30/2018,AET,Aetna Inc,00817Y108
12/21/2018,ESRX,Express Scripts Holding Co.,30219G108
7/10/2019,RHT,Red Hat Inc,756577102
7/11/2019,RHT,Red Hat Inc,756577102
7/12/2019,RHT,Red Hat Inc,756577102
9/18/2019,TSS,Total System Services Inc,891906109
9/19/2019,TSS,Total System Services Inc,891906109
9/20/2019,TSS,Total System Services Inc,891906109
1/24/2020,WCG,Wellcare Health Plans Inc,94946T106
1/27/2020,WCG,Wellcare Health Plans Inc,94946T106
5/11/2020,AGN,Allergan plc,G0177J108
10/6/2020,NBL,Noble Energy Inc,655044105
10/7/2020,NBL,Noble Energy Inc,655044105
10/8/2020,NBL,Noble Energy Inc,655044105
1/19/2021,CXO,Concho Resources Inc,20605P101
1/20/2021,CXO,Concho Resources Inc,20605P101
4/16/2021,VAR,Varian Medical Systems Inc,92220P105
4/19/2021,VAR,Varian Medical Systems Inc,92220P105
